scenario_id,scenario_role,line_number,timestamp,stream_id,src_ip,dst_ip,service,control_object,control_action,ctl_num,origin_identifier,final_tag,protocol_reasons,stat_reasons,anomaly_score,supervised_is_anomaly,meta_fusion_score,meta_prediction,sequence_branch_score,sequence_positive_prediction,review_label,keep_for_training,review_notes
scenario_0001,context,65497,2026-02-14T10:27:04.044062,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,125.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999683366531512,1.0,0.99949527,1.0,,,
scenario_0001,context,65498,2026-02-14T10:27:04.056751,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999655254898696,1.0,0.99948287,1.0,,,
scenario_0001,context,65499,2026-02-14T10:27:04.099695,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999690054366832,1.0,0.9994011,1.0,,,
scenario_0001,context,65500,2026-02-14T10:27:04.143613,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999968602442225,1.0,0.9993493,1.0,,,
scenario_0001,context,65501,2026-02-14T10:27:04.160207,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999969013990096,1.0,0.9992902,1.0,,,
scenario_0001,context,65518,2026-02-14T10:27:09.536928,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,SBOw,126.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999683117800748,1.0,0.9994924,1.0,,,
scenario_0001,core,65519,2026-02-14T10:27:09.545712,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,last_appl_error,,45.0,1,0.9999999978958688,1.0,0.9993774,1.0,,,
scenario_0001,context,65520,2026-02-14T10:27:09.557424,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.999934417839554,1.0,0.9993869,1.0,,,
scenario_0001,context,65537,2026-02-14T10:27:18.066621,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,127.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999571699684352,1.0,0.99950016,1.0,,,
scenario_0001,context,65538,2026-02-14T10:27:18.074428,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999627452134738,1.0,0.99949396,1.0,,,
scenario_0001,core,65539,2026-02-14T10:27:18.079309,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression,,45.0,1,0.9999999975813892,1.0,0.9994178,1.0,,,
scenario_0001,context,65544,2026-02-14T10:27:20.803598,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,127.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.999960256169334,1.0,0.99944526,1.0,,,
scenario_0001,context,65545,2026-02-14T10:27:20.817263,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999627491668528,1.0,0.9994142,1.0,,,
scenario_0001,context,65546,2026-02-14T10:27:20.861182,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999966142143189,1.0,0.9994355,1.0,,,
scenario_0001,context,65547,2026-02-14T10:27:20.867039,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999689991663324,1.0,0.9993849,1.0,,,
scenario_0001,context,65548,2026-02-14T10:27:20.981228,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999967813440567,1.0,0.99929094,1.0,,,
scenario_0001,context,65567,2026-02-14T10:27:30.945044,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.9999676390644848,1.0,0.99925965,1.0,,,
scenario_0001,context,65568,2026-02-14T10:27:30.991891,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.9997379350668948,1.0,0.9988674,1.0,,,
scenario_0001,context,65588,2026-02-14T10:27:40.940988,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,0.5029642405873594,0.0,0.99854565,1.0,,,
scenario_0001,context,65589,2026-02-14T10:27:41.004425,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,0.7046433927488085,0.0,0.9927005,1.0,,,
scenario_0001,context,65592,2026-02-14T10:27:44.095177,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,SBOw,128.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9996352803599852,1.0,0.9991473,1.0,,,
scenario_0001,context,65593,2026-02-14T10:27:44.100056,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999454628108791,1.0,0.9992938,1.0,,,
scenario_0001,core,65594,2026-02-14T10:27:44.123480,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_without_matching_write,,50.0,1,0.999999999259096,1.0,0.99926823,1.0,,,
scenario_0001,context,65607,2026-02-14T10:27:47.421151,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,Oper,128.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.999968312294738,1.0,0.99936754,1.0,,,
scenario_0001,context,65608,2026-02-14T10:27:47.437743,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999655338078036,1.0,0.9994319,1.0,,,
scenario_0001,context,65609,2026-02-14T10:27:47.781535,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999968615972718,1.0,0.9993981,1.0,,,
scenario_0001,context,65611,2026-02-14T10:27:48.277861,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999690128206886,1.0,0.99936074,1.0,,,
scenario_0001,context,65615,2026-02-14T10:27:49.858959,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999661554123108,1.0,0.9992906,1.0,,,
scenario_0001,context,65616,2026-02-14T10:27:49.896047,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999690135705752,1.0,0.9993455,1.0,,,
scenario_0001,context,65632,2026-02-14T10:27:57.486498,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,129.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999683306132168,1.0,0.99943894,1.0,,,
scenario_0001,context,65633,2026-02-14T10:27:57.491378,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999498868315968,1.0,0.9994392,1.0,,,
scenario_0001,core,65634,2026-02-14T10:27:57.499186,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_without_matching_write,,50.0,1,0.999999999171481,1.0,0.99946254,1.0,,,
scenario_0001,context,65639,2026-02-14T10:28:01.204271,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,129.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999645262736356,1.0,0.99952173,1.0,,,
scenario_0001,context,65640,2026-02-14T10:28:01.216959,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999628212904804,1.0,0.9995254,1.0,,,
scenario_0001,context,65641,2026-02-14T10:28:01.258929,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999665564429816,1.0,0.9994553,1.0,,,
scenario_0001,context,65642,2026-02-14T10:28:01.304798,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999686081901332,1.0,0.9993604,1.0,,,
scenario_0001,context,65643,2026-02-14T10:28:01.336029,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999690104298724,1.0,0.9992893,1.0,,,
scenario_0001,context,65662,2026-02-14T10:28:11.338983,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.9999689651317176,1.0,0.99926025,1.0,,,
scenario_0001,context,65663,2026-02-14T10:28:11.343863,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.9998127491782092,1.0,0.9988714,1.0,,,
scenario_0002,context,97337,2026-02-14T14:43:59.479414,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97338,2026-02-14T14:43:59.531141,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97357,2026-02-14T14:44:09.482266,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97358,2026-02-14T14:44:09.487147,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97371,2026-02-14T14:44:11.963208,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,138.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0002,context,97372,2026-02-14T14:44:11.971992,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,core,97373,2026-02-14T14:44:11.984679,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_without_matching_write,,45.0,1,,,,,,,
scenario_0002,context,97376,2026-02-14T14:44:14.335952,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,138.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0002,context,97377,2026-02-14T14:44:14.346688,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97378,2026-02-14T14:44:14.387679,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97379,2026-02-14T14:44:14.406223,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97380,2026-02-14T14:44:14.411102,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97398,2026-02-14T14:44:22.422328,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,SBOw,139.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0002,context,97399,2026-02-14T14:44:22.458440,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,core,97400,2026-02-14T14:44:22.555063,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_without_matching_write,,50.0,1,,,,,,,
scenario_0002,context,97404,2026-02-14T14:44:25.155173,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,Oper,139.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0002,context,97405,2026-02-14T14:44:25.175668,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97406,2026-02-14T14:44:25.503598,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97408,2026-02-14T14:44:26.013769,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97409,2026-02-14T14:44:27.594060,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97410,2026-02-14T14:44:27.606745,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0002,context,97411,2026-02-14T14:44:27.633097,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106470,2026-02-14T15:57:51.824562,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106471,2026-02-14T15:57:51.889952,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106499,2026-02-14T15:58:01.839104,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106500,2026-02-14T15:58:01.893759,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106515,2026-02-14T15:58:06.465826,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,SBOw,144.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0003,context,106516,2026-02-14T15:58:06.563424,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,core,106517,2026-02-14T15:58:06.567330,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_without_matching_write,,45.0,1,,,,,,,
scenario_0003,context,106522,2026-02-14T15:58:09.684106,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,Oper,144.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0003,context,106523,2026-02-14T15:58:09.695818,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106525,2026-02-14T15:58:10.010086,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106526,2026-02-14T15:58:10.515351,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106528,2026-02-14T15:58:12.100351,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106529,2026-02-14T15:58:12.108159,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106548,2026-02-14T15:58:17.473340,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,145.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0003,context,106549,2026-02-14T15:58:17.559227,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,core,106550,2026-02-14T15:58:17.690984,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_without_matching_write,,50.0,1,,,,,,,
scenario_0003,context,106553,2026-02-14T15:58:20.712025,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,145.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,,,,,,,
scenario_0003,context,106554,2026-02-14T15:58:20.729593,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106555,2026-02-14T15:58:20.796936,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106556,2026-02-14T15:58:20.845737,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106557,2026-02-14T15:58:20.980422,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,,,,,,,
scenario_0003,context,106578,2026-02-14T15:58:30.833705,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,,,,,,,
scenario_0003,context,106579,2026-02-14T15:58:30.905927,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,,,,,,,
scenario_0004,context,165373,2026-02-15T00:51:53.622871,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0004,context,165374,2026-02-15T00:51:53.625799,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0004,context,165395,2026-02-15T00:52:03.492494,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,7.91,1,,,,,,,
scenario_0004,context,165396,2026-02-15T00:52:03.495424,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,,,,,,,
scenario_0004,core,165399,2026-02-15T00:52:07.064378,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_without_matching_write,,45.0,1,,,,,,,
scenario_0004,core,165400,2026-02-15T00:52:07.224439,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.0,1,,,,,,,
scenario_0004,core,165404,2026-02-15T00:52:08.041074,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.0,1,,,,,,,
scenario_0004,context,165426,2026-02-15T00:52:18.076766,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,,,,,,,
