line_number,timestamp,tag,seed_is_attack,supervised_is_anomaly,scenario_id,scenario_role,scenario_seed_count,scenario_member_count,scenario_group_key,scenario_window_start_line,scenario_window_end_line,scenario_core_start_line,scenario_core_end_line,scenario_start_timestamp,scenario_end_timestamp,scenario_duration_seconds,stream_id
65,2026-02-14T01:39:59.511638,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
66,2026-02-14T01:39:59.531158,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
67,2026-02-14T01:39:59.540917,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
68,2026-02-14T01:39:59.670724,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
88,2026-02-14T01:40:09.370340,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
89,2026-02-14T01:40:09.386931,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
90,2026-02-14T01:40:09.485505,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
91,2026-02-14T01:40:09.501123,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
92,2026-02-14T01:40:09.509906,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
93,2026-02-14T01:40:09.530402,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
94,2026-02-14T01:40:09.540161,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
98,2026-02-14T01:40:09.670944,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
111,2026-02-14T01:40:19.371593,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
112,2026-02-14T01:40:19.381353,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
113,2026-02-14T01:40:19.492616,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
114,2026-02-14T01:40:19.514089,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
115,2026-02-14T01:40:19.522872,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
116,2026-02-14T01:40:19.544345,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
117,2026-02-14T01:40:19.553127,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
120,2026-02-14T01:40:19.671221,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
145,2026-02-14T01:40:29.371213,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
146,2026-02-14T01:40:29.416109,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
147,2026-02-14T01:40:29.486379,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
148,2026-02-14T01:40:29.501020,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
149,2026-02-14T01:40:29.510779,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
150,2026-02-14T01:40:29.531281,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
151,2026-02-14T01:40:29.541035,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
152,2026-02-14T01:40:29.772344,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
167,2026-02-14T01:40:39.372188,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
168,2026-02-14T01:40:39.384874,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
169,2026-02-14T01:40:39.486377,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
170,2026-02-14T01:40:39.510777,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
171,2026-02-14T01:40:39.516633,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
172,2026-02-14T01:40:39.530295,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
173,2026-02-14T01:40:39.541032,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
174,2026-02-14T01:40:39.671814,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
192,2026-02-14T01:40:49.467048,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
193,2026-02-14T01:40:49.502695,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
194,2026-02-14T01:40:49.511479,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
195,2026-02-14T01:40:49.528461,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
196,2026-02-14T01:40:49.533331,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
197,2026-02-14T01:40:49.543118,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
198,2026-02-14T01:40:49.550915,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
199,2026-02-14T01:40:49.672700,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
215,2026-02-14T01:40:59.379348,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
216,2026-02-14T01:40:59.396915,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
218,2026-02-14T01:40:59.486705,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
219,2026-02-14T01:40:59.512081,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
220,2026-02-14T01:40:59.523793,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
221,2026-02-14T01:40:59.534530,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
222,2026-02-14T01:40:59.551121,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
223,2026-02-14T01:40:59.673119,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
238,2026-02-14T01:41:09.378760,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
239,2026-02-14T01:41:09.395352,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
240,2026-02-14T01:41:09.499782,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
241,2026-02-14T01:41:09.515398,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
242,2026-02-14T01:41:09.525158,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
243,2026-02-14T01:41:09.536870,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
244,2026-02-14T01:41:09.544678,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
245,2026-02-14T01:41:09.673508,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
260,2026-02-14T01:41:19.368735,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
261,2026-02-14T01:41:19.377519,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
262,2026-02-14T01:41:19.486831,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
263,2026-02-14T01:41:19.497566,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
264,2026-02-14T01:41:19.507326,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
265,2026-02-14T01:41:19.527822,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
266,2026-02-14T01:41:19.537582,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
267,2026-02-14T01:41:19.668364,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
282,2026-02-14T01:41:29.379326,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
283,2026-02-14T01:41:29.396894,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
285,2026-02-14T01:41:29.482780,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
286,2026-02-14T01:41:29.498396,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
287,2026-02-14T01:41:29.507180,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
288,2026-02-14T01:41:29.527676,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
289,2026-02-14T01:41:29.537436,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
290,2026-02-14T01:41:29.673098,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
306,2026-02-14T01:41:39.399616,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
307,2026-02-14T01:41:39.438655,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
308,2026-02-14T01:41:39.484524,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
309,2026-02-14T01:41:39.504045,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
310,2026-02-14T01:41:39.511853,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
311,2026-02-14T01:41:39.538204,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
312,2026-02-14T01:41:39.546988,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
313,2026-02-14T01:41:39.673866,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
328,2026-02-14T01:41:49.368182,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
329,2026-02-14T01:41:49.377942,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
330,2026-02-14T01:41:49.484323,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
331,2026-02-14T01:41:49.532147,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
332,2026-02-14T01:41:49.541907,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
333,2026-02-14T01:41:49.547762,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
334,2026-02-14T01:41:49.558499,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
335,2026-02-14T01:41:49.674004,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
350,2026-02-14T01:41:59.370410,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
351,2026-02-14T01:41:59.387001,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
352,2026-02-14T01:41:59.484598,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
353,2026-02-14T01:41:59.499238,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
354,2026-02-14T01:41:59.512902,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
355,2026-02-14T01:41:59.530470,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
356,2026-02-14T01:41:59.539254,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
358,2026-02-14T01:41:59.670036,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
374,2026-02-14T01:42:09.369944,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
375,2026-02-14T01:42:09.380679,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
376,2026-02-14T01:42:09.481206,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
377,2026-02-14T01:42:09.500726,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
378,2026-02-14T01:42:09.510486,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
379,2026-02-14T01:42:09.530983,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
380,2026-02-14T01:42:09.540741,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
381,2026-02-14T01:42:09.670547,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
396,2026-02-14T01:42:19.371586,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
397,2026-02-14T01:42:19.381346,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
398,2026-02-14T01:42:19.486752,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
399,2026-02-14T01:42:19.502368,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
400,2026-02-14T01:42:19.512128,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
401,2026-02-14T01:42:19.532624,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
402,2026-02-14T01:42:19.541407,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
403,2026-02-14T01:42:19.673166,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
420,2026-02-14T01:42:29.372415,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
421,2026-02-14T01:42:29.386074,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
423,2026-02-14T01:42:29.487242,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
424,2026-02-14T01:42:29.501882,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
425,2026-02-14T01:42:29.511642,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
426,2026-02-14T01:42:29.532138,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
427,2026-02-14T01:42:29.543849,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
428,2026-02-14T01:42:29.672680,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
443,2026-02-14T01:42:39.372199,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
444,2026-02-14T01:42:39.383911,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
446,2026-02-14T01:42:39.488341,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
447,2026-02-14T01:42:39.502005,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
448,2026-02-14T01:42:39.511764,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
449,2026-02-14T01:42:39.533237,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
450,2026-02-14T01:42:39.542020,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
451,2026-02-14T01:42:39.671826,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
466,2026-02-14T01:42:49.372682,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
467,2026-02-14T01:42:49.381468,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
468,2026-02-14T01:42:49.488055,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
469,2026-02-14T01:42:49.501715,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
470,2026-02-14T01:42:49.511477,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
471,2026-02-14T01:42:49.531972,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
472,2026-02-14T01:42:49.541731,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
473,2026-02-14T01:42:49.672515,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
488,2026-02-14T01:42:59.372692,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
489,2026-02-14T01:42:59.382452,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
490,2026-02-14T01:42:59.497618,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
491,2026-02-14T01:42:59.522025,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
492,2026-02-14T01:42:59.534097,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
493,2026-02-14T01:42:59.539935,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
494,2026-02-14T01:42:59.552944,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
495,2026-02-14T01:42:59.672542,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
514,2026-02-14T01:43:09.372377,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
515,2026-02-14T01:43:09.382136,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
516,2026-02-14T01:43:09.487542,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
517,2026-02-14T01:43:09.502182,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
518,2026-02-14T01:43:09.511941,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
519,2026-02-14T01:43:09.532437,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
520,2026-02-14T01:43:09.542197,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
521,2026-02-14T01:43:09.672003,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
537,2026-02-14T01:43:19.373013,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
538,2026-02-14T01:43:19.458900,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
539,2026-02-14T01:43:19.487205,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
540,2026-02-14T01:43:19.524291,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
541,2026-02-14T01:43:19.534052,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
542,2026-02-14T01:43:19.546739,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
543,2026-02-14T01:43:19.559428,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
544,2026-02-14T01:43:19.672641,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
558,2026-02-14T01:43:29.367882,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
559,2026-02-14T01:43:29.378617,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
560,2026-02-14T01:43:29.484025,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
561,2026-02-14T01:43:29.498663,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
562,2026-02-14T01:43:29.525016,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
563,2026-02-14T01:43:29.539656,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
564,2026-02-14T01:43:29.546486,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
565,2026-02-14T01:43:29.673365,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
580,2026-02-14T01:43:39.370032,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
581,2026-02-14T01:43:39.383695,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
582,2026-02-14T01:43:39.484222,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
583,2026-02-14T01:43:39.498861,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
584,2026-02-14T01:43:39.515455,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
585,2026-02-14T01:43:39.547661,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
586,2026-02-14T01:43:39.576940,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
588,2026-02-14T01:43:39.668684,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
604,2026-02-14T01:43:49.369900,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
605,2026-02-14T01:43:49.381613,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
606,2026-02-14T01:43:49.481163,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
607,2026-02-14T01:43:49.499707,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
608,2026-02-14T01:43:49.530938,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
609,2026-02-14T01:43:49.536795,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
610,2026-02-14T01:43:49.546554,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
611,2026-02-14T01:43:49.671481,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
626,2026-02-14T01:43:59.370458,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
627,2026-02-14T01:43:59.380218,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
