line_number,timestamp,tag,reasons,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,octet_identities,report_origins,report_ctl_nums,summary
36,2026-02-14T01:39:49.373060,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
37,2026-02-14T01:39:49.380868,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
38,2026-02-14T01:39:49.481393,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
39,2026-02-14T01:39:49.489201,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
40,2026-02-14T01:39:49.512625,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
41,2026-02-14T01:39:49.554592,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
42,2026-02-14T01:39:49.574112,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
43,2026-02-14T01:39:49.585824,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
44,2026-02-14T01:39:49.674638,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
45,2026-02-14T01:39:49.881849,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
46,2026-02-14T01:39:49.896489,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.47,10.0.19.39:56633-10.0.19.47:102,126926.0,,,,,,,,GetServerDirectoryRequest
47,2026-02-14T01:39:49.945429,normal,,RESPONSE,GET_NAME_LIST,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,126926.0,,,,,,,,GET_NAME_LIST
48,2026-02-14T01:39:51.230953,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.37,10.0.19.37:102-10.0.19.39:61269,75493.0,,,,,,,,GetServerDirectoryRequest
49,2026-02-14T01:39:51.282678,normal,,RESPONSE,GET_NAME_LIST,10.0.19.37,10.0.19.39,10.0.19.37:102-10.0.19.39:61269,75493.0,,,,,,,,GET_NAME_LIST
50,2026-02-14T01:39:52.513940,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
51,2026-02-14T01:39:52.996079,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
52,2026-02-14T01:39:55.531073,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
53,2026-02-14T01:39:55.855099,normal,,RESPONSE,UNCONFIRMED,10.0.19.37,10.0.19.39,10.0.19.37:102-10.0.19.39:61269,,,,,,,,,Unconfirmed <RPT>
54,2026-02-14T01:39:55.931227,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
55,2026-02-14T01:39:55.959530,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.48,10.0.19.39:56634-10.0.19.48:102,128849.0,,,,,,,,GetServerDirectoryRequest
56,2026-02-14T01:39:55.983930,normal,,RESPONSE,GET_NAME_LIST,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,128849.0,,,,,,,,GET_NAME_LIST
57,2026-02-14T01:39:58.182433,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161854.0,,,,,,,,GetServerDirectoryRequest
58,2026-02-14T01:39:58.186337,normal,,RESPONSE,GET_NAME_LIST,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161854.0,,,,,,,,GET_NAME_LIST
59,2026-02-14T01:39:58.548255,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
60,2026-02-14T01:39:58.960205,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
61,2026-02-14T01:39:59.372072,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
62,2026-02-14T01:39:59.380856,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
63,2026-02-14T01:39:59.486262,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
64,2026-02-14T01:39:59.503830,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
65,2026-02-14T01:39:59.511638,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
66,2026-02-14T01:39:59.531158,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
67,2026-02-14T01:39:59.540917,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
68,2026-02-14T01:39:59.670724,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
69,2026-02-14T01:39:59.887393,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.47,10.0.19.39:56633-10.0.19.47:102,126927.0,,,,,,,,GetServerDirectoryRequest
70,2026-02-14T01:39:59.983040,normal,,RESPONSE,GET_NAME_LIST,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,126927.0,,,,,,,,GET_NAME_LIST
71,2026-02-14T01:40:01.564333,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
72,2026-02-14T01:40:01.981831,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
73,2026-02-14T01:40:03.804881,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161855.0,E03A103_CTRL/Q1CSWI1$CO$Pos,SBOw,114,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
74,2026-02-14T01:40:03.811712,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161855.0,,,,,,,,WRITE
75,2026-02-14T01:40:03.830256,failed-control,report_ctlnum_regression;report_ctlnum_not_seen_in_writes;report_without_matching_write,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,101,Unconfirmed <RPT>
76,2026-02-14T01:40:04.615492,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
77,2026-02-14T01:40:04.981487,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
78,2026-02-14T01:40:05.918624,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.37,10.0.19.37:102-10.0.19.39:61269,75494.0,,,,,,,,GetServerDirectoryRequest
79,2026-02-14T01:40:05.970408,normal,,RESPONSE,GET_NAME_LIST,10.0.19.37,10.0.19.39,10.0.19.37:102-10.0.19.39:61269,75494.0,,,,,,,,GET_NAME_LIST
80,2026-02-14T01:40:05.974313,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.48,10.0.19.39:56634-10.0.19.48:102,128850.0,,,,,,,,GetServerDirectoryRequest
81,2026-02-14T01:40:05.988956,normal,,RESPONSE,GET_NAME_LIST,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,128850.0,,,,,,,,GET_NAME_LIST
82,2026-02-14T01:40:07.163234,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161856.0,E03A103_CTRL/Q1CSWI1$CO$Pos,Oper,114,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
83,2026-02-14T01:40:07.171041,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161856.0,,,,,,,,WRITE
84,2026-02-14T01:40:07.514291,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,,,Unconfirmed <RPT>
85,2026-02-14T01:40:07.643965,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
86,2026-02-14T01:40:08.008719,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,114,Unconfirmed <RPT>
87,2026-02-14T01:40:08.031168,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
88,2026-02-14T01:40:09.370340,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
89,2026-02-14T01:40:09.386931,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
90,2026-02-14T01:40:09.485505,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
91,2026-02-14T01:40:09.501123,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
92,2026-02-14T01:40:09.509906,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
93,2026-02-14T01:40:09.530402,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
94,2026-02-14T01:40:09.540161,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
95,2026-02-14T01:40:09.612384,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,114,Unconfirmed <?>
96,2026-02-14T01:40:09.616288,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,114,Unconfirmed <RPT>
97,2026-02-14T01:40:09.619216,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,,,Unconfirmed <RPT>
98,2026-02-14T01:40:09.670944,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
99,2026-02-14T01:40:09.925677,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.47,10.0.19.39:56633-10.0.19.47:102,126928.0,,,,,,,,GetServerDirectoryRequest
100,2026-02-14T01:40:09.982284,normal,,RESPONSE,GET_NAME_LIST,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,126928.0,,,,,,,,GET_NAME_LIST
101,2026-02-14T01:40:10.664498,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
102,2026-02-14T01:40:11.031469,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
103,2026-02-14T01:40:13.704184,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
104,2026-02-14T01:40:14.050732,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
105,2026-02-14T01:40:15.958912,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.37,10.0.19.37:102-10.0.19.39:61269,75495.0,,,,,,,,GetServerDirectoryRequest
106,2026-02-14T01:40:15.962816,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.48,10.0.19.39:56634-10.0.19.48:102,128851.0,,,,,,,,GetServerDirectoryRequest
107,2026-02-14T01:40:15.966720,normal,,RESPONSE,GET_NAME_LIST,10.0.19.37,10.0.19.39,10.0.19.37:102-10.0.19.39:61269,75495.0,,,,,,,,GET_NAME_LIST
108,2026-02-14T01:40:16.002832,normal,,RESPONSE,GET_NAME_LIST,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,128851.0,,,,,,,,GET_NAME_LIST
109,2026-02-14T01:40:16.697397,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
110,2026-02-14T01:40:17.063718,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
111,2026-02-14T01:40:19.371593,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
112,2026-02-14T01:40:19.381353,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
113,2026-02-14T01:40:19.492616,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
114,2026-02-14T01:40:19.514089,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
115,2026-02-14T01:40:19.522872,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
116,2026-02-14T01:40:19.544345,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
117,2026-02-14T01:40:19.553127,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
118,2026-02-14T01:40:19.620470,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161857.0,,,,,,,,GetServerDirectoryRequest
119,2026-02-14T01:40:19.624374,normal,,RESPONSE,GET_NAME_LIST,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161857.0,,,,,,,,GET_NAME_LIST
120,2026-02-14T01:40:19.671221,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
121,2026-02-14T01:40:19.778579,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
122,2026-02-14T01:40:19.954257,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.47,10.0.19.39:56633-10.0.19.47:102,126929.0,,,,,,,,GetServerDirectoryRequest
123,2026-02-14T01:40:19.977681,normal,,RESPONSE,GET_NAME_LIST,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,126929.0,,,,,,,,GET_NAME_LIST
124,2026-02-14T01:40:20.081136,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
125,2026-02-14T01:40:20.945862,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161858.0,E03A103_CTRL/Q1CSWI1$CO$Pos,SBOw,115,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
126,2026-02-14T01:40:20.952691,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161858.0,,,,,,,,WRITE
127,2026-02-14T01:40:20.996612,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,114,Unconfirmed <RPT>
128,2026-02-14T01:40:22.797190,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
129,2026-02-14T01:40:23.113652,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
130,2026-02-14T01:40:24.844795,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161859.0,E03A103_CTRL/Q1CSWI1$CO$Pos,Oper,115,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
131,2026-02-14T01:40:24.933610,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161859.0,,,,,,,,WRITE
132,2026-02-14T01:40:25.169969,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,,,Unconfirmed <RPT>
133,2026-02-14T01:40:25.649151,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,115,Unconfirmed <RPT>
